"Name","Source","Page","Rarity","Type","Attunement","Damage","Properties","Mastery","Weight","Value","Text"
"Glimmering Moonbow","BMT","36","rare","generic variant","requires attunement","","","","","","This silver-and-black bow is engraved with the phases of the moon. You gain a +1 bonus to attack and damage rolls made with this magic weapon.When you hit with a ranged attack roll using this magic bow, the target takes an extra 1d6 radiant damage. If you load no ammunition in the weapon, it produces its own, automatically creating one piece of magic ammunition when you make a ranged attack with it. The ammunition created by the bow vanishes the instant after it hits or misses a target.While wielding this magic bow, you can use a bonus action to enter a semi-incorporeal state until the start of your next turn. While semi-incorporeal, you have resistance to bludgeoning, piercing, and slashing damage. Once this bonus action is used, it can't be used again until the next dawn. Base items. This item variant can be applied to the following base items:Longbow (Glimmering Moon Longbow)Shortbow (Glimmering Moon Shortbow)"
"Gloomwrought Armor","BMT","67","rare","generic variant","requires attunement","","","","","","This intricate grayscale armor was forged in the Shadowfell and is infused with that plane's gloom.While you're wearing this armor, you have advantage on saving throws you make to avoid or end the frightened condition on yourself.This armor has 3 charges. You can expend a charge to cast the Calm Emotions spell (save DC 15) from the armor. This armor regains 1d3 expended charges daily at dawn. Base items. This item variant can be applied to the following base items:Breastplate (Gloomwrought Breastplate)Chain Mail (Gloomwrought Chain Mail)Chain Shirt (Gloomwrought Chain Shirt)Half Plate Armor (Gloomwrought Half Plate Armor)Hide Armor (Gloomwrought Hide Armor)Leather Armor (Gloomwrought Leather Armor)Padded Armor (Gloomwrought Padded Armor)Plate Armor (Gloomwrought Plate Armor)Ring Mail (Gloomwrought Ring Mail)Scale Mail (Gloomwrought Scale Mail)Spiked Armor (Gloomwrought Spiked Armor)Splint Armor (Gloomwrought Splint Armor)Studded Leather Armor (Gloomwrought Studded Leather Armor)"
"Gloves of Missile Snaring","DMG'24","265","uncommon","wondrous item","requires attunement","","","","","","If you're hit by an attack roll made with a Ranged or Thrown weapon while wearing these gloves, you can take a Reaction to reduce the damage by 1d10 plus your Dexterity modifier if you have a free hand. If you reduce the damage to 0, you can catch the ammunition or weapon if it is small enough for you to hold in that hand."
"Gloves of Soul Catching","CM","169","legendary","wondrous item","requires attunement","","","","","","Your Constitution score is 20 while you wear these gloves. This property of the gloves has no effect on you if your Constitution is already 20 or higher.After making a successful unarmed strike while wearing these gloves, you can use the gloves to deal an extra 2d10 force damage to the target, and you regain a number of hit points equal to the force damage dealt. Alternatively, instead of regaining hit points in this way, you can choose to gain advantage on one attack roll, ability check, or saving throw you make before the end of your next turn."
"Gloves of Swimming and Climbing","DMG'24","265","uncommon","wondrous item","requires attunement","","","","","","While wearing these gloves, climbing and swimming don't cost you extra movement, and you gain a +5 bonus to Strength (Athletics) checks made to climb or swim."
"Gloves of Thievery","DMG'24","265","uncommon","wondrous item","","","","","","","These gloves are invisible while worn. While wearing them, you gain a +5 bonus to Dexterity (Sleight of Hand) checks and Dexterity checks made to pick locks."
"Glowrune Pigment","BGG","112","rare","wondrous item","","","","","","","This set of 1d4 + 2 small paint pots contains pigments mixed from crushed luminescent gemstones. This magical paint bestows temporary magical gifts on creatures with runes drawn on their skin with this paint.One paint pot contains enough pigment to paint one rune. A creature can spend 10 minutes to paint one of the following runes onto itself or another creature: Journey Rune. difficult terrain doesn't cost the painted creature extra movement. Life Rune. The painted creature gains 10 temporary hit points and has advantage on death saving throws. Light Rune. The painted creature gains darkvision to a range of 30 feet. If the painted creature already has darkvision from another source, the range of its darkvision increases by 30 feet. Mountain Rune. The painted creature is immune to being knocked prone and has advantage on Strength and Constitution saving throws. Shield Rune. The painted creature has advantage on Dexterity saving throws against effects that deal damage.A creature can benefit from only one painted rune at a time, so a new rune painted on a creature has no effect unless the old one is removed first. The rune's benefits last for 8 hours or until the painted creature uses its action to wipe away the rune."
"Gnomengarde Grenade","DC","undefined","varies","wondrous item","","","","","","","This small metallic object is comprised of rune-covered parts made from different metals, linked together with a variety of gears, bands, bits, and bobs. The metals are all different colors, making the grenade shine with a rainbow of color when held up in the light.As a bonus action, a creature can turn a special key to arm the grenade. Once armed, the grenade explodes in a matter of seconds. As an action, the wielder can hurl the grenade up to 120 feet. At the end of their turn, the grenade explodes. All creatures within 60 feet of the grenade when it explodes suffer the following effects:Each creature must make a DC 15 Dexterity saving throw, taking 28 (8d6) fire damage on a failed save, or half as much fire damage on a successful one.Each creature must make a DC 15 Constitution saving throw. On a failed save, it takes 28 (8d6) thunder damage and is stunned until the end of its next turn. On a successful save, it takes half as much thunder damage and is not stunned.The wielder rolls on the chart* for the wand of wonder three times, rerolling any duplicate results. Any effects that specify a target affect all creatures in range of the grenade when it explodes. Any effects that would affect the wielder of the wand instead affect the closest creature to the grenade when it goes off.The grenade explodes immediately if a creature places it in an extradimensional space or teleports while in possession of it. The effects of the explosion will be felt at both the origin and terminus of the teleportation, but only affecting all creatures within 30 feet of either location."
"Goat","DMG'24","213","none","trade good","","","","","","1 gp","Merchants commonly exchange trade goods without using currency."
"Goggles of Night","DMG'24","265","uncommon","wondrous item","","","","","","","While wearing these dark lenses, you have Darkvision out to 60 feet. If you already have Darkvision, wearing the goggles increases its range by 60 feet."
"Gold","DMG'24","213","none","trade good","","","","","1 lb.","50 gp","Merchants commonly exchange trade goods without using currency."
"Gold Canary Figurine of Wondrous Power","FTD","23","legendary","wondrous item","","","","","","","This gold statuette is carved in the likeness of a canary and is small enough to fit in a pocket. If you use an action to speak the command word and throw the figurine to a point on the ground within 60 feet of you, the figurine becomes a living creature in one of two forms (you choose). If there isn't enough space for the creature where it would appear, the figurine doesn't become a creature. The two forms are as follows: Giant Canary Form. The figurine becomes a giant canary for up to 8 hours and can be ridden as a mount. Once the figurine has become a giant canary, it can't be used this way again until the next dawn. Gold Dragon Form. While you are missing half or more of your hit points, you can speak a different command word and the figurine becomes an adult gold dragon (see its stat block in the Monster Manual) for up to 1 hour. The dragon can't use any legendary actions or lair actions. Once the figurine has become an adult gold dragon, it can't be used this way again until 1 year has passed.In either form, the creature is friendly to you and your companions. It understands your languages and obeys your spoken commands. If you issue no commands, the creature defends itself but takes no other actions.The creature exists for a duration specific to each form. At the end of the duration, the creature reverts to its figurine form. It reverts to a figurine early if it drops to 0 hit points or if you use an action to speak the command word again while touching it. When the creature becomes a figurine again, its property can't be used again until a certain amount of time has passed, as specified in the description."
"Gold Dragon Scale Mail","DMG'24","254","very rare","medium armor (scale mail)","requires attunement","AC 14 + Dex (max 2)","","","45 lb.","","Dragon Scale Mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them. Other times, hunters carefully preserve the hide of a dead dragon. In either case, Dragon Scale Mail is highly valued.While wearing this armor, you gain a +1 bonus to Armor Class, you have Advantage on saving throws against the breath weapons of Dragons, and you have Resistance to Fire damage.Additionally, you can focus your senses as a Magic action to discern the distance and direction to the closest gold dragon within 30 miles of yourself. This action can't be used again until the next dawn.The wearer has Disadvantage on Dexterity (Stealth) checks."
"Goose Egg Trinket","BGG","150","none","adventuring gear","","","","","","","Sometimes, an egg laid by a giant goose inexplicably contains some kind of small trinket or minor magic item. Once it lays a golden egg, a giant goose can't do so again for a year and a day.You can use the Goose Egg Trinket table to determine the contents of a golden egg. A giant goose's egg can be a great way to give characters an item that's important to the story of an adventure or your campaign.Goose Egg Trinketd12Egg Contents1The egg is empty, but the inside of the shell is inscribed with a poem or an intricate illustration.2The gold shell encloses a candy egg.3The egg holds a small toy goose that makes a loud honking noise when squeezed.4The egg contains a potion of giant strength (hill giant) with no container.5The egg holds a pearl of power.6The egg contains a brooch of shielding.7The egg contains a figurine of wondrous power (silver raven) that activates automatically as the egg is opened, releasing what appears to be a living bird.8-12The egg is empty."
"Grappling Hook","PHB'24","225","none","adventuring gear","","","","","4 lb.","2 gp","As a Utilize action, you can throw the Grappling Hook at a railing, a ledge, or another catch within 50 feet of yourself, and the hook catches on if you succeed on a DC 13 Dexterity (Acrobatics) check. If you tied a Rope to the hook, you can then climb it."
"Grasping Whip","BMT","67","rare","weapon (Whip), martial weapon, melee weapon","","1d4 Slashing","finesse, reach","","3 lb.","","You gain a +1 bonus to attack and damage rolls made with this magic whip. When you hit a creature or object that is Large or smaller with this whip, you can pull that creature or object 5 feet toward you instead of dealing damage. Finesse. When making an attack with a finesse weapon, you use your choice of your Strength or Dexterity modifier for the attack and damage rolls. You must use the same modifier for both rolls. Reach. This weapon adds 5 feet to your reach when you attack with it. This property also determines your reach for opportunity attacks with a reach weapon."
"Gravenhollow Compass Ring","OotA","141","unknown (magic)","other","","","","","","","This gold ring is fitted with a star ruby worth 1,000 gp. A detect magic spell reveals that the gem radiates a faint aura of divination magic. The gem's star-shaped core is a magical compass that guides the ring's wearer along the safest, shortest route to Gravenhollow."
"Greataxe","PHB'24","215","none","weapon, martial weapon, melee weapon","","1d12 Slashing","Heavy, Two‑Handed","Mastery: Cleave","7 lb.","30 gp","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"Greatclub","PHB'24","215","none","weapon, simple weapon, melee weapon","","1d8 Bludgeoning","Two‑Handed","Mastery: Push","10 lb.","2 sp","Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Push. If you hit a creature with this weapon, you can push the creature up to 10 feet straight away from yourself if it is Large or smaller."
"Greatsword","PHB'24","215","none","weapon, martial weapon, melee weapon","","2d6 Slashing","Heavy, Two‑Handed","Mastery: Graze","6 lb.","50 gp","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Graze. If your attack roll with this weapon misses a creature, you can deal damage to that creature equal to the ability modifier you used to make the attack roll. This damage is the same type dealt by the weapon, and the damage can be increased only by increasing the ability modifier."
"Green Chromatic Rose","WBtW","208","rare","wondrous item","","","","","","","While this rose is held, it issues green gas as a harmless visual effect.While holding the rose by its stem, you gain resistance to poison damage. If you would take more than 10 poison damage from a single source (after applying the resistance), the rose disintegrates, and you take no damage instead.As an action, you can blow the petals from the rose to produce a 20-foot cone of poison. Each creature in the cone must make a DC 15 Constitution saving throw, taking 3d10 poison damage on a failed save, or half as much damage on a successful one. Using this property destroys the rose."
"Green Copper Ewer","CoS","188","unknown (magic)","other","","","","","","","Any poisonous liquid poured into the ewer is instantly transformed into an equal amount of sweet wine. Furthermore, a creature that grasps the ewer's handle can command the ewer to fill with 1 gallon of wine, and it can't produce more wine until the next dawn."
"Green Dragon Mask","RoTOS","4","legendary","wondrous item","requires attunement","","","","","","This mottled green mask is surmounted by a frilled crest and has leathery spiked plates along its jaw. The mask reshapes to fit a wearer attuned to it. While you are wearing the mask and attuned to it, you can access the following properties Damage Absorption. You have resistance against poison damage. If you already have resistance to poison damage from another source, you instead have immunity to poison damage. If you already have immunity to poison damage from another source, whenever you are subjected to poison damage, you take none of that damage and regain a number of hit points equal to half the damage dealt of that type. Draconic Majesty. While you are wearing no armor, you can add your Charisma bonus to your Armor Class. Dragon Breath. If you have a breath weapon that requires rest to recharge, it gains a recharge of 6. Dragon Sight. You gain darkvision out to 60 feet, or to an additional 60 feet if you already have that sense. Once per day, you can gain blindsight out to 30 feet for 5 minutes. Dragon Tongue. You can speak and understand Draconic. You also have advantage on any Charisma check you make against Green Dragons. Legendary Resistance. (1/Day) If you fail a saving throw, you can choose to succeed instead. Water Breathing. You can breathe underwater."
"Green Dragon Scale Mail","DMG'24","254","very rare","medium armor (scale mail)","requires attunement","AC 14 + Dex (max 2)","","","45 lb.","","Dragon Scale Mail is made of the scales of one kind of dragon. Sometimes dragons collect their cast-off scales and gift them. Other times, hunters carefully preserve the hide of a dead dragon. In either case, Dragon Scale Mail is highly valued.While wearing this armor, you gain a +1 bonus to Armor Class, you have Advantage on saving throws against the breath weapons of Dragons, and you have Resistance to Poison damage.Additionally, you can focus your senses as a Magic action to discern the distance and direction to the closest green dragon within 30 miles of yourself. This action can't be used again until the next dawn.The wearer has Disadvantage on Dexterity (Stealth) checks."
"Grenade Launcher","DMG'24","73","none","adventuring gear, modern","","","","","7 lb.","","As an action, you can either throw a grenade at a point up to 60 feet away or use a Grenade Launcher to propel the grenade to a point up to 1,000 feet away. The grenade explodes at that point, creating a particular effect in a 20-foot-radius Sphere."
"Guardian Emblem","TCE","128","uncommon","wondrous item","requires attunement by a cleric or paladin","","","","","","This emblem is the symbol of a deity or a spiritual tradition. As an action, you can attach the emblem to a suit of armor or a shield or remove it.The emblem has 3 charges. When you or a creature you can see within 30 feet of you suffers a critical hit while you're wearing the armor or wielding the shield that bears the emblem, you can use your reaction to expend 1 charge to turn the critical hit into a normal hit instead.The emblem regains all expended charges daily at dawn."
"Gulthias Staff","CoS","221","rare","staff, weapon, simple weapon, melee weapon","requires attunement","1d6 Bludgeoning","versatile (1d8)","","4 lb.","","Made from the branch of a Gulthias tree (see the blights entry of the Monster Manual), a Gulthias staff is a spongy, black length of wood. Its evil makes beasts visibly uncomfortable while within 30 feet of it. The staff has 10 charges and regains 1d6 + 4 of its expended charges daily at dusk.If the staff is broken or burned to ashes, its wood releases a terrible, inhuman scream that can be heard out to a range of 300 feet. All blights that can hear the scream immediately wither and die. Vampiric Strike. The staff can be wielded as a magic quarterstaff. On a hit, it deals damage as a normal quarterstaff, and you can expend 1 charge to regain a number of hit points equal to the damage dealt by the weapon. Each time a charge is spent, red blood oozes from the staff's pores, and you must succeed on a DC 12 Wisdom saving throw or be afflicted with short term madness (see ""Madness"" in chapter 8 of the Dungeon Master's Guide). Blight Bane. While you are attuned to the staff, blights and other evil plant creatures don't regard you as hostile unless you harm them. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Gunpowder (keg)","DMG'24","73","none","explosive","","","","","20 lb.","250 gp","Setting fire to a keg full of Gunpowder causes it to explode. When a keg explodes, each creature in a 10-foot-radius Sphere centered on the keg makes a DC 12 Dexterity saving throw, taking 24 (7d6) Fire damage on a failed save or half as much damage on a successful one."
"Gunpowder (powder horn)","DMG'24","73","none","explosive","","","","","2 lb.","35 gp","Setting fire to a powder horn full of Gunpowder causes it to explode. When a powder horn explodes, each creature in a 10-foot-radius Sphere centered on the powder horn makes a DC 12 Dexterity saving throw, taking 10 (3d6) Fire damage on a failed save or half as much damage on a successful one."
"Gurt's Greataxe","SKT","234","legendary","weapon (Greataxe), martial weapon, melee weapon","requires attunement","3d12 Slashing","heavy, two‑handed","","325 lb.","","In the Year of the Icy Axe (123 DR), the frost giant Lord Gurt fell to Uthgar Gardolfsson—leader of the folk who would become the Uthgardt barbarians—in a battle that marked the ascendance of humankind over the giants in the Dessarin Valley. Gurt's greataxe was buried in Morgur's Mound until it was unearthed and brought back to Waterdeep. After laying in the city's vaults for decades, the axe was given to Harshnag, a frost giant adventurer, in recognition of his service to Waterdeep. Uthgardt barbarians recognize the weapon on sight and attack any giant that wields it.You gain a +1 bonus to attack and damage rolls made with this magic weapon. It is sized for a giant, weighs 325 pounds, and deals 3d12 slashing damage on a hit, plus an extra 2d12 slashing damage if the target is human.The axe sheds light as a torch when the temperature around it drops below 0 degrees Fahrenheit. The light can't be shut off in these conditions.As an action, you can cast a version of the heat metal spell (save DC 13) that deals cold damage instead of fire damage. Once this power is used, it can't be used again until the next dawn. Heavy. Creatures that are Small or Tiny have disadvantage on attack rolls with heavy weapons. A heavy weapon's size and bulk make it too large for a Small or Tiny creature to use effectively. Two-Handed. This weapon requires two hands to use. This property is relevant only when you attack with the weapon, not when you simply hold it."
"Hag Eye","DMG'24","265","uncommon","wondrous item","","","","","","","A Hag Eye has 3 charges. While wearing or holding this item, you can expend 1 charge to cast Darkvision (targeting yourself only) or See Invisibility. The Hag Eye regains all expended charges daily at dawn. Coven Sensor. The Hag Eye is usually entrusted to a hag's minion for safekeeping and transport. As a Magic action, a hag who belongs to the coven that created the Hag Eye can see what the Hag Eye sees if the hag and the Hag Eye are on the same plane of existence. This effect lasts as long as the hag maintains Concentration. Multiple hags in the coven can see through the Hag Eye simultaneously. Creating a Hag Eye. Only a hag coven can craft this item, which is made from a real eye coated in varnish and often fitted to a pendant or another wearable item. A hag coven can have only one Hag Eye at a time, and creating a new one requires all three members of the coven to perform a special rite. This rite takes 1 hour, and the hags can't perform it if one or more of them has the Incapacitated condition. If the hags take any other actions during this rite, the rite fails and ends."
"Halberd","PHB'24","215","none","weapon, martial weapon, melee weapon","","1d10 Slashing","Heavy, Reach, Two‑Handed","Mastery: Cleave","6 lb.","20 gp","Heavy. You have Disadvantage on attack rolls with a Heavy weapon if it's a Melee weapon and your Strength score isn't at least 13 or if it's a Ranged weapon and your Dexterity score isn't at least 13. Reach. A Reach weapon adds 5 feet to your reach when you attack with it, as well as when determining your reach for Opportunity Attacks with it. Two-Handed. A Two-Handed weapon requires two hands when you attack with it. Mastery: Cleave. If you hit a creature with a melee attack roll using this weapon, you can make a melee attack roll with the weapon against a second creature within 5 feet of the first that is also within your reach. On a hit, the second creature takes the weapon's damage, but don't add your ability modifier to that damage unless that modifier is negative. You can make this extra attack only once per turn."
"Half Plate Armor","PHB'24","219","none","medium armor","","AC 15 + Dex (max 2)","","","40 lb.","750 gp","The wearer has Disadvantage on Dexterity (Stealth) checks."
"Hammer of Runic Focus","BMT","67","very rare","weapon (Warhammer), martial weapon, melee weapon","requires attunement","1d8 Bludgeoning","versatile (1d10)","","2 lb.","","This magic hammer has 3 charges. As a bonus action, you can expend 1 charge and slam this hammer on the ground, creating a 15-foot-radius circle of glowing runes centered on the point of impact. While you're inside that area, your hammer glows with matching runes, and you gain a +3 bonus to attack and damage rolls made with this hammer. The rune circle disappears after 1 minute, when you create another rune circle, or when you dismiss the rune circle as a bonus action. This hammer regains 1d3 expended charges daily at dawn. Versatile. This weapon can be used with one or two hands. A damage value in parentheses appears with the property—the damage when the weapon is used with two hands to make a melee attack."
"Hammer of Thunderbolts","DMG'24","265","legendary","generic variant","requires attunement","","","","","","You gain a +1 bonus to attack rolls and damage rolls made with this magic weapon.The weapon has 5 charges. You can expend 1 charge and make a ranged attack with the weapon, hurling it as if it had Thrown with a normal range of 20 feet and a long range of 60 feet.If the attack hits, the weapon unleashes a thunderclap audible out to 300 feet. The target and every creature within 30 feet of it other than you must succeed on a DC 17 Constitution saving throw or have the Stunned condition until the end of your next turn. Immediately after hitting or missing, the weapon flies back to your hand. The weapon regains 1d4 + 1 expended charges daily at dawn. Giant's Bane. While you are attuned to the weapon and wearing either a Belt of Giant Strength or Gauntlets of Ogre Power to which you are also attuned, you gain the following benefits:Giants' Bane. When you roll a 20 on the d20 for an attack roll made with this weapon against a Giant, the creature must succeed on a DC 17 Constitution saving throw or die.Might of Giants. The Strength score bestowed by your Belt of Giant Strength or Gauntlets of Ogre Power increases by 4, to a maximum of 30. Base items. This item variant can be applied to the following base items:Maul (Maul of Thunderbolts)Warhammer (Warhammer of Thunderbolts)"
"Hammerhead Ship","AAG","32","none","vehicle (space)","","Speed: 4 mphCarrying Capacity: 30 tons cargoCrew 15, AC 15, HP 400, Damage Threshold 15","","","","40,000 gp","Hammerhead ships are popular craft, especially among pirates and merchants carrying heavy cargo. They can float on water and sail across it, but they aren't built to land on the ground (their keels would cause them to tip to one side). Standard weapons on a hammerhead ship include fore and aft mangonels, a ballista, and a reinforced bow for ramming."
"Hammock of Worlds","JttRC","214","legendary","wondrous item","","","","","","","The Hammock of Worlds is a colorful hammock woven with traditional Ataguan designs. It can be used only by a member of the order known as the Green Doctors.You can use an action to unfold and place the Hammock of Worlds on a solid surface, whereupon it creates a two-way portal to the Ghost Orchid Tepui in the Feywild or to the Drought Elder in the Far Realm (the user's choice). You can use an action to close an open portal by taking hold of the edges of the cloth and folding it up. Once Hammock of Worlds has opened a portal, it can't do so again for 1d8 hours."
"Hand Crossbow","PHB'24","215","none","weapon, martial weapon, ranged weapon","","1d6 Piercing","Ammunition (Range 30/120 ft.; Bolt), Light, Loading","Mastery: Vex","3 lb.","75 gp","Range. A Range weapon has a range in parentheses after the Ammunition or Thrown property. The range lists two numbers. The first is the weapon's normal range in feet, and the second is the weapon's long range. When attacking a target beyond normal range, you have Disadvantage on the attack roll. You can't attack a target beyond the long range. Ammunition. You can use a weapon that has the Ammunition property to make a ranged attack only if you have ammunition to fire from it. The type of ammunition required is specified with the weapon's range. Each attack expends one piece of ammunition. Drawing the ammunition is part of the attack (you need a free hand to load a one-handed weapon). After a fight, you can spend 1 minute to recover half the ammunition (round down) you used in the fight; the rest is lost. Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Loading. You can fire only one piece of ammunition from a Loading weapon when you use an action, a Bonus Action, or a Reaction to fire it, regardless of the number of attacks you can normally make. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Hand of Vecna","DMG'24","259","artifact","wondrous item","requires attunement","","","","","","Vecna was a mighty wizard who, through magic and conquest, forged a terrible empire. For all his power, however, Vecna feared death and took steps to prevent his demise by becoming a lich.A treacherous lieutenant named Kas brought Vecna's rule to an end in a terrible battle. Of Vecna, all that remained were one hand and one eye, grisly Artifacts that still seek to work Vecna's will in the world.The Eye of Vecna and the Hand of Vecna are separate Artifacts that might be found together or separately. The eye looks like a bloodshot organ torn free from the socket. The hand is a shriveled left extremity. Random Properties of the Eye and Hand. The Hand of Vecna has the following random properties:1 minor beneficial property1 major beneficial property1 minor detrimental property Attuning to the Hand. To attune to the hand, you must press it against the stump where your left hand was. The hand grafts itself to your arm and becomes a functioning appendage. If the hand is ever removed, you die. Properties of the Hand. When you are attuned to the hand, your alignment is Neutral Evil, and you gain the following benefits:Great Strength. Your Strength becomes 20 unless it is already 20 or higher.Icy Touch. Any melee spell attack you make with the hand and any melee attack made with a weapon held by it deals an extra 2d8 Cold damage on a hit.Spellcasting. The hand has 8 charges and regains 1d4 + 4 expended charges daily at dawn. You can cast a spell on the Hand of Vecna Spells table from the hand (save DC 18). The table indicates how many charges you must expend to cast the spell. Each time you cast a spell from it, the hand casts Suggestion on you (save DC 18; no Concentration required), demanding that you commit an evil act. The hand might have a specific act in mind or leave it up to you.Hand of Vecna SpellsSpellCharge CostFinger of Death5Sleep1Slow2Teleport3 Destroying the Eye and Hand. If the Eye of Vecna and the Hand of Vecna are both attached to the same creature and that creature is slain by the Sword of Kas, both the eye and the hand burst into flame, turn to ash, and are destroyed. Any other attempt to destroy the eye or hand seems to work, but the Artifact reappears in one of Vecna's many hidden vaults, where it waits to be rediscovered."
"Handaxe","PHB'24","215","none","weapon, simple weapon, melee weapon","","1d6 Slashing","Light, Thrown (20/60 ft.)","Mastery: Vex","2 lb.","5 gp","Light. When you take the Attack action on your turn and attack with a Light weapon, you can make one extra attack as a Bonus Action later on the same turn. That extra attack must be made with a different Light weapon, and you don't add your ability modifier to the extra attack's damage unless that modifier is negative. For example, you can attack with a Shortsword in one hand and a Dagger in the other using the Attack action and a Bonus Action, but you don't add your Strength or Dexterity modifier to the damage roll of the Bonus Action unless that modifier is negative. Thrown. If a weapon has the Thrown property, you can throw the weapon to make a ranged attack, and you can draw that weapon as part of the attack. If the weapon is a Melee weapon, use the same ability modifier for the attack and damage rolls that you use for a melee attack with that weapon. Mastery: Vex. If you hit a creature with this weapon and deal damage to the creature, you have Advantage on your next attack roll against that creature before the end of your next turn."
"Harp of Gilded Plenty","BGG","112","legendary","wondrous item","requires attunement","","","","","","This golden harp is sculpted in the image of the god Iallanis, depicted as a young cloud giant woman. When a creature comes within 5 feet of the harp, the instrument animates and is capable of speaking, singing, and playing by itself.Whenever you attempt to attune to the harp, you must first make either a DC 15 Charisma (Performance) check or a DC 20 Charisma (Persuasion) check to convince the harp that you are worthy, attuning to the harp on a success. If you fail, you can't attempt to attune to the harp again until the next dawn. Once you have successfully attuned to the harp, the harp resizes to suit you. Stalwart Song. Whenever you make a Charisma check while attuned to the harp, you can treat a roll of 9 or lower on the die as a 10. Feast of Plenty. If you spend 10 minutes playing the harp, you can cast the heroes' feast spell from it. Once this property is used, it can't be used again until 1d10 + 10 days have passed. Soothing Melody. As an action, you can use the harp to cast the calm emotions spell (save DC 19). When the spell is cast using the harp, its duration increases to 1 hour, provided you maintain concentration on the spell. This property can be used five times, and it regains all uses at dawn. Sentience. The harp is a sentient, chaotic good object with an Intelligence of 13, a Wisdom of 15, and a Charisma of 20. It has hearing and darkvision to a range of 120 feet.The harp can speak, read, and understand Common and Giant. It can also communicate telepathically with the creature attuned to it.The harp has a dramatic and pompous personality, taking extreme pride in the quality of music produced from its strings. If the harp is shorter than 6 feet tall, it bemoans its height."
"Hat of Disguise","DMG'24","266","uncommon","wondrous item","requires attunement","","","","","","While wearing this hat, you can cast the Disguise Self spell. The spell ends if the hat is removed."
